,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
26344,32003,1,Fleming Island,Clay County,30.09,-81.73,Florida,12019,602
26353,32008,1,Branford,Suwannee County,29.9,-82.9,Florida,12121,138
26356,32009,2,Bryceville,Nassau County,30.4,-82.0,Florida,12089,163
26360,32011,2,Callahan,Nassau County,30.6,-81.8,Florida,12089,163
26372,32024,1,Lake City,Columbia County,30.1,-82.7,Florida,12023,359
26410,32025,2,Lake City,Columbia County,30.1,-82.6,Florida,12023,359
26481,32030,1,Doctors Inlet,Clay County,,,Florida,12019,602
26483,32033,2,Elkton,St. Johns County,29.8,-81.4,Florida,12109,214
26485,32034,1,Fernandina Beach,Nassau County,30.6,-81.5,Florida,12089,163
26521,32038,1,Fort White,Columbia County,29.9,-82.7,Florida,12023,359
26538,32040,3,Glen Saint Mary,Baker County,30.3,-82.2,Florida,12003,249
26570,32043,2,Green Cove Springs,Clay County,29.9,-81.8,Florida,12019,602
26598,32044,2,Hampton,Bradford County,29.86,-82.18,Florida,12007,182
26605,32046,1,Hilliard,Nassau County,30.7,-81.9,Florida,12089,163
26617,32052,2,Jasper,Hamilton County,30.5,-83.0,Florida,12047,40
26628,32053,1,Jennings,Hamilton County,30.6,-83.2,Florida,12047,40
26633,32054,2,Lake Butler,Union County,30.0,-82.4,Florida,12125,78
26669,32055,1,Lake City,Columbia County,30.4,-82.6,Florida,12023,359
26744,32056,2,Lake City,Columbia County,,,Florida,12023,359
26748,32058,3,Lawtey,Bradford County,30.07,-82.12,Florida,12007,182
26761,32060,2,Live Oak,Suwannee County,30.3,-83.0,Florida,12121,138
26803,32062,2,Mc Alpin,Suwannee County,30.1,-83.0,Florida,12121,138
26808,32063,2,Macclenny,Baker County,30.3,-82.1,Florida,12003,249
26884,32064,2,Live Oak,Suwannee County,30.3,-82.99,Florida,12121,138
26903,32065,2,Orange Park,Clay County,30.15,-81.81,Florida,12019,602
26963,32066,1,Mayo,Lafayette County,30.0,-83.2,Florida,12067,11
26969,32068,2,Middleburg,Clay County,30.1,-81.9,Florida,12019,602
27100,32071,2,O Brien,Suwannee County,30.0,-83.0,Florida,12121,138
27108,32073,2,Orange Park,Clay County,30.16,-81.75,Florida,12019,602
27183,32079,3,Penney Farms,Clay County,29.9,-81.7,Florida,12019,602
27184,32080,3,Saint Augustine,St. Johns County,29.8,-81.3,Florida,12109,214
27185,32081,3,Ponte Vedra,St. Johns County,30.2,-81.4,Florida,12109,214
27192,32082,3,Ponte Vedra Beach,St. Johns County,30.1,-81.4,Florida,12109,214
27194,32083,2,Raiford,Union County,30.07,-82.21,Florida,12125,78
27200,32084,2,Saint Augustine,St. Johns County,29.9,-81.35,Florida,12109,214
27234,32086,2,Saint Augustine,St. Johns County,29.8,-81.3,Florida,12109,214
27251,32087,2,Sanderson,Baker County,30.4,-82.3,Florida,12003,249
27275,32091,1,Starke,Bradford County,29.9,-82.1,Florida,12007,182
27363,32092,1,Saint Augustine,St. Johns County,29.9,-81.5,Florida,12109,214
27380,32094,1,Wellborn,Suwannee County,30.2,-82.8,Florida,12121,138
27386,32095,2,Saint Augustine,St. Johns County,30.0,-81.41,Florida,12109,214
27388,32096,2,White Springs,Hamilton County,30.4,-82.7,Florida,12047,40
27395,32097,1,Yulee,Nassau County,30.6,-81.6,Florida,12089,163
27425,32102,3,Astor,Lake County,29.12,-81.55,Florida,12069,750
27426,32110,3,Bunnell,Flagler County,29.5,-81.3,Florida,12035,160
27438,32112,2,Crescent City,Putnam County,29.4,-81.6,Florida,12107,393
27439,32113,1,Citra,Marion County,29.4,-82.1,Florida,12083,1272
27441,32114,2,Daytona Beach,Volusia County,29.19,-81.05,Florida,12127,1546
27541,32115,1,Daytona Beach,Volusia County,,,Florida,12127,1546
27543,32117,2,Daytona Beach,Volusia County,29.24,-81.07,Florida,12127,1546
27639,32118,2,Daytona Beach,Volusia County,29.2,-81.0,Florida,12127,1546
27655,32119,1,Daytona Beach,Volusia County,29.16,-81.03,Florida,12127,1546
27706,32120,1,Daytona Beach,Volusia County,,,Florida,12127,1546
27708,32124,3,Daytona Beach,Volusia County,29.16,-81.14,Florida,12127,1546
27710,32127,1,Port Orange,Volusia County,29.11,-80.97,Florida,12127,1546
27734,32128,2,Port Orange,Volusia County,29.1,-81.08,Florida,12127,1546
27748,32129,2,Port Orange,Volusia County,29.13,-81.02,Florida,12127,1546
27781,32130,2,De Leon Springs,Volusia County,29.17,-81.32,Florida,12127,1546
27786,32131,1,East Palatka,Putnam County,29.69,-81.58,Florida,12107,393
27794,32132,3,Edgewater,Volusia County,28.97,-80.96,Florida,12127,1546
27800,32134,2,Fort Mc Coy,Marion County,29.3,-81.8,Florida,12083,1272
27806,32135,2,Palm Coast,Flagler County,,,Florida,12035,160
27807,32136,2,Flagler Beach,Flagler County,29.47,-81.14,Florida,12035,160
27809,32137,1,Palm Coast,Flagler County,29.6,-81.2,Florida,12035,160
27832,32140,1,Florahome,Putnam County,29.76,-81.86,Florida,12107,393
27833,32141,2,Edgewater,Volusia County,28.95,-80.9,Florida,12127,1546
27843,32145,2,Hastings,St. Johns County,29.7,-81.4,Florida,12109,214
27855,32147,1,Hollister,Putnam County,29.64,-81.81,Florida,12107,393
27863,32148,1,Interlachen,Putnam County,29.6,-81.9,Florida,12107,393
27917,32159,2,Lady Lake,Lake County,28.92,-81.91,Florida,12069,750
27943,32162,1,The Villages,Sumter County,28.92,-82.0,Florida,12119,177
27945,32164,2,Palm Coast,Flagler County,29.48,-81.22,Florida,12035,160
27999,32168,1,New Smyrna Beach,Volusia County,29.0,-81.1,Florida,12127,1546
28034,32169,2,New Smyrna Beach,Volusia County,28.9,-80.8,Florida,12127,1546
28036,32174,2,Ormond Beach,Volusia County,29.3,-81.2,Florida,12127,1546
28086,32176,2,Ormond Beach,Volusia County,29.34,-81.06,Florida,12127,1546
28090,32177,1,Palatka,Putnam County,29.7,-81.7,Florida,12107,393
28198,32179,1,Ocklawaha,Marion County,29.1,-81.9,Florida,12083,1272
28223,32180,1,Pierson,Volusia County,29.2,-81.4,Florida,12127,1546
28227,32181,1,Pomona Park,Putnam County,29.49,-81.61,Florida,12107,393
28228,32183,1,Ocklawaha,Marion County,,,Florida,12083,1272
28230,32189,2,Satsuma,Putnam County,29.55,-81.63,Florida,12107,393
28245,32192,1,Sparr,Marion County,,,Florida,12083,1272
28249,32193,1,Welaka,Putnam County,29.48,-81.66,Florida,12107,393
28250,32195,2,Weirsdale,Marion County,28.98,-81.9,Florida,12083,1272
28257,32202,1,Jacksonville,Duval County,30.33,-81.65,Florida,12031,3671
28263,32203,3,Jacksonville,Duval County,,,Florida,12031,3671
28265,32204,2,Jacksonville,Duval County,30.32,-81.68,Florida,12031,3671
28285,32205,1,Jacksonville,Duval County,30.3,-81.73,Florida,12031,3671
28341,32206,2,Jacksonville,Duval County,30.35,-81.64,Florida,12031,3671
28410,32207,1,Jacksonville,Duval County,30.27,-81.64,Florida,12031,3671
28475,32208,2,Jacksonville,Duval County,30.39,-81.68,Florida,12031,3671
28624,32209,1,Jacksonville,Duval County,30.36,-81.7,Florida,12031,3671
28781,32210,2,Jacksonville,Duval County,30.27,-81.75,Florida,12031,3671
29073,32211,1,Jacksonville,Duval County,30.33,-81.59,Florida,12031,3671
29179,32214,2,Jacksonville,Duval County,,,Florida,12031,3671
29180,32216,1,Jacksonville,Duval County,30.27,-81.58,Florida,12031,3671
29242,32217,2,Jacksonville,Duval County,30.24,-81.62,Florida,12031,3671
29268,32218,2,Jacksonville,Duval County,30.5,-81.7,Florida,12031,3671
29487,32219,1,Jacksonville,Duval County,30.4,-81.8,Florida,12031,3671
29516,32220,1,Jacksonville,Duval County,30.34,-81.85,Florida,12031,3671
29530,32221,2,Jacksonville,Duval County,30.25,-81.85,Florida,12031,3671
