,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
26189,32003,1,Fleming Island,Clay County,30.09,-81.73,Florida,12019,607
26198,32008,2,Branford,Suwannee County,29.9,-82.9,Florida,12121,134
26201,32009,2,Bryceville,Nassau County,30.4,-82.0,Florida,12089,159
26205,32011,1,Callahan,Nassau County,30.6,-81.8,Florida,12089,159
26216,32024,2,Lake City,Columbia County,30.1,-82.7,Florida,12023,356
26254,32025,2,Lake City,Columbia County,30.1,-82.6,Florida,12023,356
26323,32030,2,Doctors Inlet,Clay County,,,Florida,12019,607
26325,32033,1,Elkton,St. Johns County,29.8,-81.4,Florida,12109,206
26327,32034,1,Fernandina Beach,Nassau County,30.6,-81.5,Florida,12089,159
26363,32038,1,Fort White,Columbia County,29.9,-82.7,Florida,12023,356
26380,32040,2,Glen Saint Mary,Baker County,30.3,-82.2,Florida,12003,250
26412,32043,2,Green Cove Springs,Clay County,29.9,-81.8,Florida,12019,607
26440,32044,1,Hampton,Bradford County,29.86,-82.18,Florida,12007,177
26446,32046,1,Hilliard,Nassau County,30.7,-81.9,Florida,12089,159
26458,32052,2,Jasper,Hamilton County,30.5,-83.0,Florida,12047,42
26469,32053,2,Jennings,Hamilton County,30.6,-83.2,Florida,12047,42
26474,32054,2,Lake Butler,Union County,30.0,-82.4,Florida,12125,77
26509,32055,2,Lake City,Columbia County,30.4,-82.6,Florida,12023,356
26584,32056,2,Lake City,Columbia County,,,Florida,12023,356
26587,32058,3,Lawtey,Bradford County,30.07,-82.12,Florida,12007,177
26600,32060,2,Live Oak,Suwannee County,30.3,-83.0,Florida,12121,134
26641,32062,2,Mc Alpin,Suwannee County,30.1,-83.0,Florida,12121,134
26646,32063,2,Macclenny,Baker County,30.3,-82.1,Florida,12003,250
26720,32064,3,Live Oak,Suwannee County,30.3,-82.99,Florida,12121,134
26739,32065,2,Orange Park,Clay County,30.15,-81.81,Florida,12019,607
26798,32066,2,Mayo,Lafayette County,30.0,-83.2,Florida,12067,13
26804,32068,1,Middleburg,Clay County,30.1,-81.9,Florida,12019,607
26935,32071,1,O Brien,Suwannee County,30.0,-83.0,Florida,12121,134
26943,32073,3,Orange Park,Clay County,30.16,-81.75,Florida,12019,607
27018,32079,3,Penney Farms,Clay County,29.9,-81.7,Florida,12019,607
27019,32080,3,Saint Augustine,St. Johns County,29.8,-81.3,Florida,12109,206
27020,32081,3,Ponte Vedra,St. Johns County,30.2,-81.4,Florida,12109,206
27027,32082,3,Ponte Vedra Beach,St. Johns County,30.1,-81.4,Florida,12109,206
27029,32083,2,Raiford,Union County,30.07,-82.21,Florida,12125,77
27035,32084,2,Saint Augustine,St. Johns County,29.9,-81.35,Florida,12109,206
27068,32086,3,Saint Augustine,St. Johns County,29.8,-81.3,Florida,12109,206
27085,32087,1,Sanderson,Baker County,30.4,-82.3,Florida,12003,250
27109,32091,3,Starke,Bradford County,29.9,-82.1,Florida,12007,177
27197,32092,1,Saint Augustine,St. Johns County,29.9,-81.5,Florida,12109,206
27214,32094,1,Wellborn,Suwannee County,30.2,-82.8,Florida,12121,134
27220,32095,2,Saint Augustine,St. Johns County,30.0,-81.41,Florida,12109,206
27222,32096,1,White Springs,Hamilton County,30.4,-82.7,Florida,12047,42
27229,32097,1,Yulee,Nassau County,30.6,-81.6,Florida,12089,159
27259,32102,3,Astor,Lake County,29.12,-81.55,Florida,12069,734
27260,32110,2,Bunnell,Flagler County,29.5,-81.3,Florida,12035,160
27272,32112,2,Crescent City,Putnam County,29.4,-81.6,Florida,12107,384
27273,32113,1,Citra,Marion County,29.4,-82.1,Florida,12083,1258
27275,32114,2,Daytona Beach,Volusia County,29.19,-81.05,Florida,12127,1528
27375,32115,1,Daytona Beach,Volusia County,,,Florida,12127,1528
27377,32117,2,Daytona Beach,Volusia County,29.24,-81.07,Florida,12127,1528
27472,32118,3,Daytona Beach,Volusia County,29.2,-81.0,Florida,12127,1528
27488,32119,1,Daytona Beach,Volusia County,29.16,-81.03,Florida,12127,1528
27538,32120,2,Daytona Beach,Volusia County,,,Florida,12127,1528
27541,32124,3,Daytona Beach,Volusia County,29.16,-81.14,Florida,12127,1528
27543,32127,1,Port Orange,Volusia County,29.11,-80.97,Florida,12127,1528
27567,32128,2,Port Orange,Volusia County,29.1,-81.08,Florida,12127,1528
27581,32129,2,Port Orange,Volusia County,29.13,-81.02,Florida,12127,1528
27613,32130,1,De Leon Springs,Volusia County,29.17,-81.32,Florida,12127,1528
27618,32131,1,East Palatka,Putnam County,29.69,-81.58,Florida,12107,384
27625,32132,3,Edgewater,Volusia County,28.97,-80.96,Florida,12127,1528
27631,32134,3,Fort Mc Coy,Marion County,29.3,-81.8,Florida,12083,1258
27637,32135,2,Palm Coast,Flagler County,,,Florida,12035,160
27638,32136,2,Flagler Beach,Flagler County,29.47,-81.14,Florida,12035,160
27640,32137,1,Palm Coast,Flagler County,29.6,-81.2,Florida,12035,160
27663,32140,2,Florahome,Putnam County,29.76,-81.86,Florida,12107,384
27664,32141,2,Edgewater,Volusia County,28.95,-80.9,Florida,12127,1528
27674,32145,2,Hastings,St. Johns County,29.7,-81.4,Florida,12109,206
27686,32147,3,Hollister,Putnam County,29.64,-81.81,Florida,12107,384
27694,32148,2,Interlachen,Putnam County,29.6,-81.9,Florida,12107,384
27748,32159,2,Lady Lake,Lake County,28.92,-81.91,Florida,12069,734
27774,32162,1,The Villages,Sumter County,28.92,-82.0,Florida,12119,185
27776,32164,2,Palm Coast,Flagler County,29.48,-81.22,Florida,12035,160
27830,32168,2,New Smyrna Beach,Volusia County,29.0,-81.1,Florida,12127,1528
27864,32169,2,New Smyrna Beach,Volusia County,28.9,-80.8,Florida,12127,1528
27866,32174,1,Ormond Beach,Volusia County,29.3,-81.2,Florida,12127,1528
27915,32176,2,Ormond Beach,Volusia County,29.34,-81.06,Florida,12127,1528
27919,32177,1,Palatka,Putnam County,29.7,-81.7,Florida,12107,384
28026,32179,1,Ocklawaha,Marion County,29.1,-81.9,Florida,12083,1258
28051,32180,3,Pierson,Volusia County,29.2,-81.4,Florida,12127,1528
28055,32181,1,Pomona Park,Putnam County,29.49,-81.61,Florida,12107,384
28056,32183,1,Ocklawaha,Marion County,,,Florida,12083,1258
28058,32189,2,Satsuma,Putnam County,29.55,-81.63,Florida,12107,384
28072,32192,2,Sparr,Marion County,,,Florida,12083,1258
28076,32193,1,Welaka,Putnam County,29.48,-81.66,Florida,12107,384
28077,32195,1,Weirsdale,Marion County,28.98,-81.9,Florida,12083,1258
28084,32202,2,Jacksonville,Duval County,30.33,-81.65,Florida,12031,3682
28090,32203,3,Jacksonville,Duval County,,,Florida,12031,3682
28092,32204,1,Jacksonville,Duval County,30.32,-81.68,Florida,12031,3682
28111,32205,2,Jacksonville,Duval County,30.3,-81.73,Florida,12031,3682
28165,32206,2,Jacksonville,Duval County,30.35,-81.64,Florida,12031,3682
28234,32207,3,Jacksonville,Duval County,30.27,-81.64,Florida,12031,3682
28298,32208,1,Jacksonville,Duval County,30.39,-81.68,Florida,12031,3682
28447,32209,1,Jacksonville,Duval County,30.36,-81.7,Florida,12031,3682
28604,32210,1,Jacksonville,Duval County,30.27,-81.75,Florida,12031,3682
28895,32211,1,Jacksonville,Duval County,30.33,-81.59,Florida,12031,3682
29000,32214,2,Jacksonville,Duval County,,,Florida,12031,3682
29001,32216,1,Jacksonville,Duval County,30.27,-81.58,Florida,12031,3682
29063,32217,2,Jacksonville,Duval County,30.24,-81.62,Florida,12031,3682
29088,32218,2,Jacksonville,Duval County,30.5,-81.7,Florida,12031,3682
29304,32219,2,Jacksonville,Duval County,30.4,-81.8,Florida,12031,3682
29333,32220,3,Jacksonville,Duval County,30.34,-81.85,Florida,12031,3682
29347,32221,3,Jacksonville,Duval County,30.25,-81.85,Florida,12031,3682
29409,32222,2,Jacksonville,Duval County,30.22,-81.83,Florida,12031,3682
29439,32223,3,Jacksonville,Duval County,30.16,-81.64,Florida,12031,3682
29459,32224,1,Jacksonville,Duval County,30.29,-81.47,Florida,12031,3682
29487,32225,1,Jacksonville,Duval County,30.35,-81.5,Florida,12031,3682
29548,32226,1,Jacksonville,Duval County,30.5,-81.5,Florida,12031,3682
29570,32227,1,Jacksonville,Duval County,30.38,-81.41,Florida,12031,3682
29571,32228,3,Jacksonville,Duval County,30.3877,-81.4088,Florida,12031,3682
