"City","city_ascii","id","State","county_fips","County","Lat","Long","population","population_proper","density","source","incorporated","timezone","Zipcode","nid"
"Lake Panasoffkee";"Lake Panasoffkee";"FL";"Florida";12119;"Sumter";28.7878;-82.1318;"null";"null";20.8;"polygon";"false";"America/New_York";33538;1840014066
"Alachua";"Alachua";"FL";"Florida";12001;"Alachua";29.778;-82.4827;4533;9982;109;"polygon";"true";"America/New_York";"32615 32616 32653";1840014020
"Holt";"Holt";"FL";"Florida";12091;"Okaloosa";30.7157;-86.7458;"null";"null";99.5;"point";"false";"America/Chicago";32564;1840028697
"Ochopee";"Ochopee";"FL";"Florida";12021;"Collier";25.9015;-81.3034;"null";"null";0.9;"point";"false";"America/New_York";34141;1840023571
"Pretty Bayou";"Pretty Bayou";"FL";"Florida";12005;"Bay";30.1975;-85.6974;"null";"null";739.7;"polygon";"false";"America/Chicago";32405;1840029069
"Bushnell";"Bushnell";"FL";"Florida";12119;"Sumter";28.6859;-82.1159;4497;3107;104;"polygon";"true";"America/New_York";"33513 33538 33585";1840014067
"Apalachicola";"Apalachicola";"FL";"Florida";12037;"Franklin";29.7282;-84.994;3798;2296;461;"polygon";"true";"America/New_York";"32320 32329";1840014015
"Campville";"Campville";"FL";"Florida";12001;"Alachua";29.6664;-82.1184;"null";"null";12.4;"point";"false";"America/New_York";32640;1840028865
"Tequesta";"Tequesta";"FL";"Florida";12099;"Palm Beach";26.9618;-80.1011;6094;6094;1287;"polygon";"true";"America/New_York";33469;1840018310
"Dundee";"Dundee";"FL";"Florida";12105;"Polk";28.0116;-81.5995;4497;4497;165;"polygon";"true";"America/New_York";"33898 33877 33838 33844";1840017241
"West Hollywood";"West Hollywood";"FL";"Florida";12011;"Broward";26.0206;-80.1839;"null";"null";1984.3;"point";"false";"America/New_York";33021;1840028808
"Luraville";"Luraville";"FL";"Florida";12121;"Suwannee";30.1224;-83.1693;"null";"null";35.8;"point";"false";"America/New_York";32060;1840028838
"Sumatra";"Sumatra";"FL";"Florida";12077;"Liberty";30.023;-84.9825;"null";"null";138.7;"polygon";"false";"America/New_York";"32321 32335";1840026013
"Bonifay";"Bonifay";"FL";"Florida";12059;"Holmes";30.7828;-85.6846;4121;2722;257;"polygon";"true";"America/Chicago";32425;1840013924
"Indian Pass";"Indian Pass";"FL";"Florida";12045;"Gulf";29.6905;-85.2644;"null";"null";19.9;"point";"false";"America/New_York";32456;1840028887
"Jupiter Island";"Jupiter Island";"FL";"Florida";12085;"Martin";27.0449;-80.11;908;908;130;"polygon";"true";"America/New_York";33455;1840017251
"The Villages";"The Villages";"FL";"Florida";12119;"Sumter";28.9021;-81.9888;"null";"null";1179.6;"polygon";"false";"America/New_York";"32162 34785 32159";1840014065
"Taylor Creek";"Taylor Creek";"FL";"Florida";12093;"Okeechobee";27.2172;-80.7927;"null";"null";932.3;"polygon";"false";"America/New_York";34974;1840029086
"Columbia";"Columbia";"FL";"Florida";12023;"Columbia";30.0738;-82.6957;"null";"null";95.1;"point";"false";"America/New_York";32024;1840028654
"North Palm Beach";"North Palm Beach";"FL";"Florida";12099;"Palm Beach";26.8217;-80.0574;13057;13057;1551;"polygon";"true";"America/New_York";33408;1840018307
"Tiger Point";"Tiger Point";"FL";"Florida";12113;"Santa Rosa";30.3775;-87.0578;"null";"null";992.7;"polygon";"false";"America/Chicago";32563;1840029101
"Goodland";"Goodland";"FL";"Florida";12021;"Collier";25.9252;-81.648;"null";"null";858.9;"polygon";"false";"America/New_York";34140;1840014229
"Falmouth";"Falmouth";"FL";"Florida";12121;"Suwannee";30.363;-83.1312;"null";"null";8.4;"point";"false";"America/New_York";32060;1840028823
"Yankeetown";"Yankeetown";"FL";"Florida";12075;"Levy";29.0334;-82.733;495;495;25;"polygon";"true";"America/New_York";34498;1840017223
"Grove City";"Grove City";"FL";"Florida";12015;"Charlotte";26.9071;-82.3259;"null";"null";577.5;"polygon";"false";"America/New_York";34224;1840014196
"Indian Rocks Beach";"Indian Rocks Beach";"FL";"Florida";12103;"Pinellas";27.8963;-82.8443;4276;4276;1961;"polygon";"true";"America/New_York";33785;1840015113
"Tangelo Park";"Tangelo Park";"FL";"Florida";12095;"Orange";28.456;-81.4465;"null";"null";2435;"polygon";"false";"America/New_York";32819;1840014087
"Bayshore";"Bayshore";"FL";"Florida";12071;"Lee";26.7153;-81.8234;"null";"null";452.7;"point";"false";"America/New_York";33917;1840028629
"Glenvar Heights";"Glenvar Heights";"FL";"Florida";12086;"Miami-Dade";25.709;-80.3156;"null";"null";1010.1;"polygon";"false";"America/New_York";"33143 33155";1840014238
"Kingsley";"Kingsley";"FL";"Florida";12019;"Clay";29.9819;-81.9959;"null";"null";36.5;"point";"false";"America/New_York";32091;1840028714
"Belleair Beach";"Belleair Beach";"FL";"Florida";12103;"Pinellas";27.924;-82.8365;1607;1607;1301;"polygon";"true";"America/New_York";33786;1840014146
"Fruit Cove";"Fruit Cove";"FL";"Florida";12109;"St. Johns";30.0972;-81.6176;"null";"null";500.8;"polygon";"false";"America/New_York";32259;1840013970
"Wannee";"Wannee";"FL";"Florida";12041;"Gilchrist";29.7186;-82.941;"null";"null";30.1;"point";"false";"America/New_York";32619;1840028857
"Westchester";"Westchester";"FL";"Florida";12086;"Miami-Dade";25.7474;-80.3358;"null";"null";3186.7;"polygon";"false";"America/New_York";"33174 33144 33165 33155";1840014241
"Dowling Park";"Dowling Park";"FL";"Florida";12121;"Suwannee";30.2436;-83.2363;"null";"null";422.2;"point";"false";"America/New_York";32060;1840028668
"Keystone Heights";"Keystone Heights";"FL";"Florida";12019;"Clay";29.781;-82.0339;7134;1472;516;"polygon";"true";"America/New_York";32656;1840015049
"Day";"Day";"FL";"Florida";12067;"Lafayette";30.195;-83.2909;"null";"null";48.9;"polygon";"false";"America/New_York";32066;1840026032
"Highland City";"Highland City";"FL";"Florida";12105;"Polk";27.9631;-81.8779;"null";"null";1541.1;"polygon";"false";"America/New_York";"33830 33812 33813 33846";1840014122
"Miami Springs";"Miami Springs";"FL";"Florida";12086;"Miami-Dade";25.8195;-80.2895;14424;14424;1898;"polygon";"true";"America/New_York";"33166 33011";1840015152
"Bradenton";"Bradenton";"FL";"Florida";12081;"Manatee";27.49;-82.5743;56508;56508;1524;"polygon";"true";"America/New_York";"34208 34209 34205 34206 34281";1840014173
"Thonotosassa";"Thonotosassa";"FL";"Florida";12057;"Hillsborough";28.0465;-82.291;"null";"null";874;"polygon";"false";"America/New_York";"33592 33584";1840014154
"Lakeland";"Lakeland";"FL";"Florida";12105;"Polk";28.0557;-81.9543;291281;108054;633;"polygon";"true";"America/New_York";"33803 33801 33805 33815 33811 33813 33802 33804 33806";1840015108
"Elfers";"Elfers";"FL";"Florida";12101;"Pasco";28.214;-82.723;"null";"null";1338.2;"polygon";"false";"America/New_York";"34690 34653 34652 34680";1840013122
"Lely Resort";"Lely Resort";"FL";"Florida";12021;"Collier";26.0889;-81.7031;"null";"null";588.4;"polygon";"false";"America/New_York";34113;1840028991
"Citra";"Citra";"FL";"Florida";12083;"Marion";29.4119;-82.1098;"null";"null";193.9;"point";"false";"America/New_York";32113;1840028652
"Capitola";"Capitola";"FL";"Florida";12073;"Leon";30.451;-84.0879;"null";"null";135;"point";"false";"America/New_York";32317;1840028646
"Hillsboro Pines";"Hillsboro Pines";"FL";"Florida";12011;"Broward";26.3252;-80.1947;"null";"null";2104.9;"polygon";"false";"America/New_York";33073;1840029106
"Shiloh";"Shiloh";"FL";"Florida";12009;"Brevard";28.7905;-80.8045;"null";"null";0;"point";"false";"America/New_York";32754;1840023575
"Winter Springs";"Winter Springs";"FL";"Florida";12117;"Seminole";28.689;-81.2708;36635;36635;964;"polygon";"true";"America/New_York";"32708 32719";1840015959
"Citrus Hills";"Citrus Hills";"FL";"Florida";12017;"Citrus";28.887;-82.4312;"null";"null";549.1;"polygon";"false";"America/New_York";"34461 34453 34442";1840028978
"Alafaya";"Alafaya";"FL";"Florida";12095;"Orange";28.5183;-81.178;"null";"null";834.4;"polygon";"false";"America/New_York";"32825 32828 32829 32831 32834 32878";1840029102
"Parker";"Parker";"FL";"Florida";12005;"Bay";30.129;-85.6008;4577;4577;922;"polygon";"true";"America/Chicago";32404;1840015036
"Laguna Beach";"Laguna Beach";"FL";"Florida";12005;"Bay";30.2549;-85.951;"null";"null";808.5;"polygon";"false";"America/Chicago";32413;1840013957
"Lake Lindsey";"Lake Lindsey";"FL";"Florida";12053;"Hernando";28.6322;-82.3617;"null";"null";101.4;"polygon";"false";"America/New_York";34601;1840014107
"Briny Breezes";"Briny Breezes";"FL";"Florida";12099;"Palm Beach";26.509;-80.0543;647;647;3997;"polygon";"true";"America/New_York";33435;1840015991
"Schall Circle";"Schall Circle";"FL";"Florida";12099;"Palm Beach";26.7152;-80.1143;"null";"null";1232.6;"polygon";"false";"America/New_York";33417;1840029002
"Mascotte";"Mascotte";"FL";"Florida";12069;"Lake";28.611;-81.9107;5616;5616;175;"polygon";"true";"America/New_York";"34736 34753";1840015951
"Miccosukee";"Miccosukee";"FL";"Florida";12073;"Leon";30.5946;-84.0413;"null";"null";10.1;"point";"false";"America/New_York";32309;1840028730
"West Frostproof";"West Frostproof";"FL";"Florida";12105;"Polk";27.7336;-81.5831;"null";"null";11.1;"point";"false";"America/New_York";32094;1840011659
"Captiva";"Captiva";"FL";"Florida";12071;"Lee";26.5205;-82.191;"null";"null";373.7;"polygon";"false";"America/New_York";33924;1840014217
"Miami Lakes";"Miami Lakes";"FL";"Florida";12086;"Miami-Dade";25.9125;-80.3214;31087;31087;2118;"polygon";"true";"America/New_York";"33014 33016 33018 33002";1840017275
"Cottondale";"Cottondale";"FL";"Florida";12063;"Jackson";30.789;-85.3641;906;906;105;"polygon";"true";"America/Chicago";"32431 32448";1840017150
"Celebration";"Celebration";"FL";"Florida";12097;"Osceola";28.3102;-81.551;"null";"null";1044.4;"polygon";"false";"America/New_York";34747;1840014138
"Estero";"Estero";"FL";"Florida";12071;"Lee";26.4277;-81.7951;33048;33048;522;"polygon";"true";"America/New_York";"33967 34135 33928 33929";1840013129
"Loxahatchee Groves";"Loxahatchee Groves";"FL";"Florida";12099;"Palm Beach";26.7106;-80.2764;3528;3528;109;"polygon";"true";"America/New_York";33470;1840017260
"Cobbtown";"Cobbtown";"FL";"Florida";12113;"Santa Rosa";30.8823;-87.1212;"null";"null";13.3;"polygon";"false";"America/Chicago";32565;1840027007
"Ocala";"Ocala";"FL";"Florida";12083;"Marion";29.1803;-82.1495;164712;59110;497;"polygon";"true";"America/New_York";"34475 34474 34471 34470 32111 34477 34478 34483";1840015067
"McIntosh";"McIntosh";"FL";"Florida";12083;"Marion";29.4493;-82.2209;477;477;264;"polygon";"true";"America/New_York";32664;1840017225
"River Park";"River Park";"FL";"Florida";12111;"St. Lucie";27.3214;-80.3309;"null";"null";1664.3;"polygon";"false";"America/New_York";"34983 34952";1840028958
"Allentown";"Allentown";"FL";"Florida";12113;"Santa Rosa";30.7736;-87.0808;"null";"null";24.9;"polygon";"false";"America/Chicago";"32570 32565";1840025108
"Garden Grove";"Garden Grove";"FL";"Florida";12053;"Hernando";28.4716;-82.4348;"null";"null";209.8;"polygon";"false";"America/New_York";34604;1840025147
"Country Walk";"Country Walk";"FL";"Florida";12086;"Miami-Dade";25.6331;-80.4353;"null";"null";1064.4;"polygon";"false";"America/New_York";"33196 33186";1840028979
"Crawfordville";"Crawfordville";"FL";"Florida";12129;"Wakulla";30.1996;-84.3634;"null";"null";431.1;"polygon";"false";"America/New_York";32327;1840025125
"Crystal Springs";"Crystal Springs";"FL";"Florida";12101;"Pasco";28.183;-82.1539;"null";"null";62.3;"polygon";"false";"America/New_York";"33540 33524";1840014113
"Fruitville";"Fruitville";"FL";"Florida";12115;"Sarasota";27.3328;-82.4615;"null";"null";574.5;"polygon";"false";"America/New_York";"34232 34240";1840014179
"Hilliard";"Hilliard";"FL";"Florida";12089;"Nassau";30.6869;-81.9212;3166;3166;224;"polygon";"true";"America/New_York";32046;1840017180
"Glen Saint Mary";"Glen Saint Mary";"FL";"Florida";12003;"Baker";30.2751;-82.1603;453;453;377;"polygon";"true";"America/New_York";32040;1840017191
"Ormond Beach";"Ormond Beach";"FL";"Florida";12127;"Volusia";29.296;-81.1003;42816;42816;500;"polygon";"true";"America/New_York";"32174 32176 32173 32175";1840015076
"Saint George Island";"Saint George Island";"FL";"Florida";12037;"Franklin";29.652;-84.8881;"null";"null";197.8;"polygon";"false";"America/New_York";32328;1840029111
"Dade City";"Dade City";"FL";"Florida";12101;"Pasco";28.3569;-82.1942;7134;7134;465;"polygon";"true";"America/New_York";"33525 33523";1840015101
"Lake Placid";"Lake Placid";"FL";"Florida";12055;"Highlands";27.297;-81.3717;16683;2269;243;"polygon";"true";"America/New_York";"33852 33862";1840017248
"West Bay";"West Bay";"FL";"Florida";12005;"Bay";30.2919;-85.8597;"null";"null";220.1;"point";"false";"America/Chicago";32413;1840028951
"Washington Park";"Washington Park";"FL";"Florida";12011;"Broward";26.1304;-80.1801;"null";"null";1396.8;"polygon";"false";"America/New_York";33311;1840029015
"Yalaha";"Yalaha";"FL";"Florida";12069;"Lake";28.7509;-81.8194;"null";"null";135.2;"polygon";"false";"America/New_York";34797;1840014048
"Saint Catherine";"Saint Catherine";"FL";"Florida";12119;"Sumter";28.6103;-82.1381;"null";"null";62.4;"point";"false";"America/New_York";33597;1840028767
"Fussels Corner";"Fussels Corner";"FL";"Florida";12105;"Polk";28.0575;-81.8601;"null";"null";437;"polygon";"false";"America/New_York";"33801 33823";1840029036
"Ocean City";"Ocean City";"FL";"Florida";12091;"Okaloosa";30.4398;-86.6071;"null";"null";1785.5;"polygon";"false";"America/Chicago";32547;1840013922
"Boyd";"Boyd";"FL";"Florida";12123;"Taylor";30.1891;-83.6065;"null";"null";17.8;"point";"false";"America/New_York";32347;1840028641
"Brooksville";"Brooksville";"FL";"Florida";12053;"Hernando";28.5403;-82.3902;8147;8147;281;"polygon";"true";"America/New_York";"34601 34603";1840014112
"Bruce";"Bruce";"FL";"Florida";12131;"Walton";30.4724;-85.9652;"null";"null";30.6;"point";"false";"America/Chicago";32455;1840028644
"Haverhill";"Haverhill";"FL";"Florida";12099;"Palm Beach";26.6909;-80.1218;2191;2191;1340;"polygon";"true";"America/New_York";"33415 33417";1840015994
"Lanark Village";"Lanark Village";"FL";"Florida";12037;"Franklin";29.8835;-84.5957;"null";"null";133.9;"point";"false";"America/New_York";32323;1840028934
"Daytona Beach";"Daytona Beach";"FL";"Florida";12127;"Volusia";29.1995;-81.0982;68055;68055;400;"polygon";"true";"America/New_York";"32124 32174 32117 32114 32118 32119 32115 32116 32120 32121 32126 32198";1840015068
"Gladeview";"Gladeview";"FL";"Florida";12086;"Miami-Dade";25.8395;-80.2368;"null";"null";1014.8;"polygon";"false";"America/New_York";33147;1840029038
"Buckingham";"Buckingham";"FL";"Florida";12071;"Lee";26.6615;-81.7399;"null";"null";115.3;"polygon";"false";"America/New_York";33905;1840014216
