,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
0,30002,2,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,13089,3548
11,30004,2,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,4126
33,30005,2,Alpharetta,Fulton County,34.09,-84.22,Georgia,13121,4126
41,30006,1,Marietta,Cobb County,,,Georgia,13067,1882
44,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,13067,1882
123,30009,1,Alpharetta,Fulton County,34.08,-84.3,Georgia,13121,4126
129,30010,3,Norcross,Gwinnett County,,,Georgia,13135,1964
130,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,13013,298
173,30012,1,Conyers,Rockdale County,33.72,-84.01,Georgia,13247,385
242,30013,2,Conyers,Rockdale County,33.64,-83.97,Georgia,13247,385
337,30014,2,Covington,Newton County,33.6,-83.8,Georgia,13217,812
502,30015,1,Covington,Newton County,,,Georgia,13217,812
508,30016,2,Covington,Newton County,33.5,-83.9,Georgia,13217,812
792,30017,3,Grayson,Gwinnett County,33.89,-83.96,Georgia,13135,1964
814,30019,2,Dacula,Gwinnett County,34.0,-83.9,Georgia,13135,1964
854,30021,1,Clarkston,DeKalb County,33.81,-84.24,Georgia,13089,3548
908,30022,1,Alpharetta,Fulton County,34.02,-84.25,Georgia,13121,4126
930,30023,3,Alpharetta,Fulton County,,,Georgia,13121,4126
931,30024,1,Suwanee,Gwinnett County,34.07,-84.1,Georgia,13135,1964
952,30025,1,Social Circle,Walton County,33.6,-83.7,Georgia,13297,703
990,30026,1,North Metro,Gwinnett County,,,Georgia,13135,1964
992,30028,3,Cumming,Forsyth County,34.3,-84.2,Georgia,13117,199
1021,30030,1,Decatur,DeKalb County,33.77,-84.29,Georgia,13089,3548
1032,30031,2,Decatur,Dekalb County,,,Georgia,NA,22
1035,30032,1,Decatur,DeKalb County,33.75,-84.27,Georgia,13089,3548
1282,30033,2,Decatur,DeKalb County,33.82,-84.29,Georgia,13089,3548
1291,30034,1,Decatur,DeKalb County,33.69,-84.25,Georgia,13089,3548
1486,30035,3,Decatur,DeKalb County,33.73,-84.2,Georgia,13089,3548
1605,30036,3,Decatur,Dekalb County,,,Georgia,NA,22
1606,30038,2,Lithonia,DeKalb County,33.66,-84.14,Georgia,13089,3548
1809,30039,1,Snellville,Gwinnett County,33.8,-84.03,Georgia,13135,1964
1976,30040,1,Cumming,Forsyth County,34.2,-84.2,Georgia,13117,199
2022,30041,1,Cumming,Forsyth County,34.2,-84.1,Georgia,13117,199
2052,30043,3,Lawrenceville,Gwinnett County,34.01,-84.01,Georgia,13135,1964
2137,30044,2,Lawrenceville,Gwinnett County,33.92,-84.07,Georgia,13135,1964
2273,30045,1,Lawrenceville,Gwinnett County,33.93,-83.92,Georgia,13135,1964
2340,30046,1,Lawrenceville,Gwinnett County,33.95,-84.0,Georgia,13135,1964
2437,30047,1,Lilburn,Gwinnett County,33.87,-84.11,Georgia,13135,1964
2499,30052,1,Loganville,Walton County,33.8,-83.9,Georgia,13297,703
2628,30054,1,Oxford,Newton County,33.68,-83.86,Georgia,13217,812
2648,30055,2,Mansfield,Jasper County,33.5,-83.7,Georgia,13159,60
2654,30056,2,Newborn,Jasper County,33.5,-83.65,Georgia,13159,60
2659,30058,2,Lithonia,DeKalb County,33.74,-84.1,Georgia,13089,3548
2955,30060,2,Marietta,Cobb County,33.93,-84.54,Georgia,13067,1882
3062,30061,1,Marietta,Cobb County,,,Georgia,13067,1882
3065,30062,2,Marietta,Cobb County,34.0,-84.47,Georgia,13067,1882
3117,30064,3,Marietta,Cobb County,33.93,-84.62,Georgia,13067,1882
