,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
0,30002,2,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,13089,3542
11,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,4146
33,30005,1,Alpharetta,Fulton County,34.09,-84.22,Georgia,13121,4146
41,30006,1,Marietta,Cobb County,,,Georgia,13067,1882
44,30008,3,Marietta,Cobb County,33.9,-84.59,Georgia,13067,1882
123,30009,1,Alpharetta,Fulton County,34.08,-84.3,Georgia,13121,4146
129,30011,2,Auburn,Barrow County,34.03,-83.83,Georgia,13013,292
172,30012,1,Conyers,Rockdale County,33.72,-84.01,Georgia,13247,372
241,30013,2,Conyers,Rockdale County,33.64,-83.97,Georgia,13247,372
335,30014,2,Covington,Newton County,33.6,-83.8,Georgia,13217,837
500,30015,2,Covington,Newton County,,,Georgia,13217,837
506,30016,3,Covington,Newton County,33.5,-83.9,Georgia,13217,837
789,30017,2,Grayson,Gwinnett County,33.89,-83.96,Georgia,13135,1970
811,30019,3,Dacula,Gwinnett County,34.0,-83.9,Georgia,13135,1970
851,30021,1,Clarkston,DeKalb County,33.81,-84.24,Georgia,13089,3542
904,30022,1,Alpharetta,Fulton County,34.02,-84.25,Georgia,13121,4146
925,30023,3,Alpharetta,Fulton County,,,Georgia,13121,4146
926,30024,1,Suwanee,Gwinnett County,34.07,-84.1,Georgia,13135,1970
946,30025,3,Social Circle,Walton County,33.6,-83.7,Georgia,13297,711
985,30026,1,North Metro,Gwinnett County,,,Georgia,13135,1970
987,30028,1,Cumming,Forsyth County,34.3,-84.2,Georgia,13117,204
1016,30030,1,Decatur,DeKalb County,33.77,-84.29,Georgia,13089,3542
1027,30031,3,Decatur,Dekalb County,,,Georgia,NA,21
1030,30032,2,Decatur,DeKalb County,33.75,-84.27,Georgia,13089,3542
1277,30033,2,Decatur,DeKalb County,33.82,-84.29,Georgia,13089,3542
1286,30034,3,Decatur,DeKalb County,33.69,-84.25,Georgia,13089,3542
1481,30035,3,Decatur,DeKalb County,33.73,-84.2,Georgia,13089,3542
1599,30036,3,Decatur,Dekalb County,,,Georgia,NA,21
1600,30038,1,Lithonia,DeKalb County,33.66,-84.14,Georgia,13089,3542
1800,30039,1,Snellville,Gwinnett County,33.8,-84.03,Georgia,13135,1970
1965,30040,2,Cumming,Forsyth County,34.2,-84.2,Georgia,13117,204
2011,30041,1,Cumming,Forsyth County,34.2,-84.1,Georgia,13117,204
2041,30043,2,Lawrenceville,Gwinnett County,34.01,-84.01,Georgia,13135,1970
2125,30044,1,Lawrenceville,Gwinnett County,33.92,-84.07,Georgia,13135,1970
2258,30045,1,Lawrenceville,Gwinnett County,33.93,-83.92,Georgia,13135,1970
2325,30046,1,Lawrenceville,Gwinnett County,33.95,-84.0,Georgia,13135,1970
2421,30047,1,Lilburn,Gwinnett County,33.87,-84.11,Georgia,13135,1970
2483,30052,2,Loganville,Walton County,33.8,-83.9,Georgia,13297,711
2611,30054,2,Oxford,Newton County,33.68,-83.86,Georgia,13217,837
2631,30055,3,Mansfield,Jasper County,33.5,-83.7,Georgia,13159,60
2637,30056,2,Newborn,Jasper County,33.5,-83.65,Georgia,13159,60
2642,30058,1,Lithonia,DeKalb County,33.74,-84.1,Georgia,13089,3542
2935,30060,2,Marietta,Cobb County,33.93,-84.54,Georgia,13067,1882
3042,30061,1,Marietta,Cobb County,,,Georgia,13067,1882
3045,30062,1,Marietta,Cobb County,34.0,-84.47,Georgia,13067,1882
3097,30064,1,Marietta,Cobb County,33.93,-84.62,Georgia,13067,1882
3138,30066,1,Marietta,Cobb County,34.02,-84.5,Georgia,13067,1882
3199,30067,2,Marietta,Cobb County,33.93,-84.46,Georgia,13067,1882
3310,30068,3,Marietta,Cobb County,33.97,-84.44,Georgia,13067,1882
3322,30069,1,Marietta,Cobb County,,,Georgia,13067,1882
3323,30070,1,Porterdale,Newton County,33.6,-83.8,Georgia,13217,837
3324,30071,1,Norcross,Gwinnett County,33.94,-84.21,Georgia,13135,1970
3342,30072,3,Pine Lake,DeKalb County,33.78,-84.2,Georgia,13089,3542
3343,30075,2,Roswell,Fulton County,34.06,-84.38,Georgia,13121,4146
3356,30076,1,Roswell,Fulton County,34.02,-84.31,Georgia,13121,4146
3395,30077,1,Roswell,Fulton County,,,Georgia,13121,4146
