,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
0,30002,2,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,13089,3178.0
1,30002,1,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,13089,3178.0
2,30002,1,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,13089,3178.0
3,30002,1,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,13089,3178.0
4,30002,2,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,13089,3178.0
5,30002,1,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,13089,3178.0
6,30002,2,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,13089,3178.0
7,30002,3,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,13089,3178.0
8,30002,1,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,13089,3178.0
9,30002,2,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,13089,3178.0
10,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
11,30004,3,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
12,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
13,30004,2,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
14,30004,2,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
15,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
16,30004,2,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
17,30004,2,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
18,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
19,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
20,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
21,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
22,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
23,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
24,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
25,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
26,30004,2,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
27,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3851.0
28,30005,1,Alpharetta,Fulton County,34.09,-84.22,Georgia,13121,3851.0
29,30005,2,Alpharetta,Fulton County,34.09,-84.22,Georgia,13121,3851.0
30,30005,1,Alpharetta,Fulton County,34.09,-84.22,Georgia,13121,3851.0
31,30005,2,Alpharetta,Fulton County,34.09,-84.22,Georgia,13121,3851.0
32,30005,1,Alpharetta,Fulton County,34.09,-84.22,Georgia,13121,3851.0
33,30005,2,Alpharetta,Fulton County,34.09,-84.22,Georgia,13121,3851.0
34,30005,1,Alpharetta,Fulton County,34.09,-84.22,Georgia,13121,3851.0
35,30005,2,Alpharetta,Fulton County,34.09,-84.22,Georgia,13121,3851.0
36,30006,1,Marietta,Cobb County,,,Georgia,13067,1731.0
37,30006,2,Marietta,Cobb County,,,Georgia,13067,1731.0
38,30006,2,Marietta,Cobb County,,,Georgia,13067,1731.0
39,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,13067,1731.0
