,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
55690,48002,3,Allenton,St. Clair County,42.94,-82.93,Michigan,26147,212
55691,48003,3,Almont,Lapeer County,42.94,-83.05,Michigan,26087,74
55692,48009,1,Birmingham,Oakland County,42.55,-83.22,Michigan,26125,763
55694,48015,1,Center Line,Macomb County,42.48,-83.03,Michigan,26099,957
55697,48017,1,Clawson,Oakland County,42.54,-83.15,Michigan,26125,763
55699,48021,1,Eastpointe,Macomb County,42.47,-82.94,Michigan,26099,957
55747,48022,1,Emmett,St. Clair County,43.03,-82.81,Michigan,26147,212
55748,48023,1,Fair Haven,St. Clair County,42.69,-82.67,Michigan,26147,212
55749,48026,2,Fraser,Macomb County,42.54,-82.95,Michigan,26099,957
55752,48030,2,Hazel Park,Oakland County,42.46,-83.1,Michigan,26125,763
55760,48032,2,Jeddo,St. Clair County,43.14,-82.59,Michigan,26147,212
55761,48033,3,Southfield,Oakland County,42.47,-83.29,Michigan,26125,763
55778,48034,1,Southfield,Oakland County,42.5,-83.29,Michigan,26125,763
55784,48035,1,Clinton Township,Macomb County,42.55,-82.92,Michigan,26099,957
55820,48036,2,Clinton Township,Macomb County,42.6,-82.91,Michigan,26099,957
55852,48037,2,Southfield,Oakland County,,,Michigan,26125,763
55853,48038,3,Clinton Township,Macomb County,42.6,-82.93,Michigan,26099,957
55877,48040,1,Marysville,St. Clair County,42.91,-82.48,Michigan,26147,212
55879,48042,1,Macomb,Macomb County,42.67,-82.92,Michigan,26099,957
55885,48043,1,Mount Clemens,Macomb County,42.6,-82.88,Michigan,26099,957
55903,48044,3,Macomb,Macomb County,42.65,-82.93,Michigan,26099,957
55924,48045,1,Harrison Township,Macomb County,42.59,-82.82,Michigan,26099,957
55936,48047,1,New Baltimore,Macomb County,42.68,-82.78,Michigan,26099,957
55947,48048,1,New Haven,Macomb County,42.74,-82.8,Michigan,26099,957
55956,48049,3,North Street,St. Clair County,43.04,-82.58,Michigan,26147,212
55958,48051,1,New Baltimore,Macomb County,42.68,-82.81,Michigan,26099,957
55969,48054,3,East China,St. Clair County,42.77,-82.54,Michigan,26147,212
55971,48059,1,Fort Gratiot,St. Clair County,43.1,-82.5,Michigan,26147,212
55998,48060,2,Port Huron,St. Clair County,42.99,-82.47,Michigan,26147,212
56067,48062,1,Richmond,Macomb County,42.85,-82.8,Michigan,26099,957
56068,48065,1,Romeo,Macomb County,42.84,-83.04,Michigan,26099,957
56069,48066,1,Roseville,Macomb County,42.51,-82.94,Michigan,26099,957
56131,48067,1,Royal Oak,Oakland County,42.49,-83.14,Michigan,26125,763
56133,48071,1,Madison Heights,Oakland County,42.51,-83.11,Michigan,26125,763
56140,48072,2,Berkley,Oakland County,42.5,-83.18,Michigan,26125,763
56141,48073,2,Royal Oak,Oakland County,42.52,-83.16,Michigan,26125,763
56143,48074,1,Smiths Creek,St. Clair County,42.95,-82.56,Michigan,26147,212
56150,48075,2,Southfield,Oakland County,42.46,-83.23,Michigan,26125,763
56163,48076,1,Southfield,Oakland County,42.5,-83.23,Michigan,26125,763
56172,48079,3,Saint Clair,St. Clair County,42.86,-82.55,Michigan,26147,212
56176,48080,2,Saint Clair Shores,Macomb County,42.47,-82.9,Michigan,26099,957
56182,48081,2,Saint Clair Shores,Macomb County,42.49,-82.9,Michigan,26099,957
56183,48082,1,Saint Clair Shores,Macomb County,42.52,-82.88,Michigan,26099,957
56186,48083,1,Troy,Oakland County,42.56,-83.12,Michigan,26125,763
56190,48084,1,Troy,Oakland County,42.56,-83.18,Michigan,26125,763
56193,48088,1,Warren,Macomb County,42.52,-82.98,Michigan,26099,957
56204,48089,1,Warren,Macomb County,42.47,-83.0,Michigan,26099,957
56280,48091,1,Warren,Macomb County,42.47,-83.05,Michigan,26099,957
56317,48092,1,Warren,Macomb County,42.51,-83.06,Michigan,26099,957
56334,48093,2,Warren,Macomb County,42.51,-83.02,Michigan,26099,957
56371,48094,1,Washington,Macomb County,42.74,-83.04,Michigan,26099,957
56377,48096,2,Ray,Macomb County,42.76,-82.92,Michigan,26099,957
