,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
55305,48002,3,Allenton,St. Clair County,42.94,-82.93,Michigan,26147,204
55306,48003,3,Almont,Lapeer County,42.94,-83.05,Michigan,26087,66
55307,48009,3,Birmingham,Oakland County,42.55,-83.22,Michigan,26125,737
55309,48015,1,Center Line,Macomb County,42.48,-83.03,Michigan,26099,980
55991,48101,1,Allen Park,Wayne County,42.26,-83.21,Michigan,26163,3601
56005,48103,2,Ann Arbor,Washtenaw County,42.3,-83.9,Michigan,26161,398
56110,48116,2,Brighton,Livingston County,42.5,-83.77,Michigan,26093,163
56113,48117,3,Carleton,Monroe County,42.0,-83.4,Michigan,26115,211
58755,48401,2,Applegate,Sanilac County,43.4,-82.7,Michigan,26151,94
58761,48413,1,Bad Axe,Huron County,43.8,-83.0,Michigan,26063,66
58777,48414,1,Bancroft,Shiawassee County,42.86,-84.08,Michigan,26155,114
58778,48415,1,Birch Run,Saginaw County,43.3,-83.8,Michigan,26145,524
58792,48420,2,Clio,Genesee County,43.2,-83.7,Michigan,26049,1282
59889,48610,1,Alger,Arenac County,44.1,-84.2,Michigan,26011,27
59894,48611,1,Auburn,Bay County,43.64,-84.09,Michigan,26017,147
59896,48612,1,Beaverton,Gladwin County,43.9,-84.4,Michigan,26051,35
59902,48615,3,Breckenridge,Gratiot County,43.4,-84.5,Michigan,26057,84
59906,48617,2,Clare,Clare County,43.9,-84.7,Michigan,26035,44
59909,48618,1,Coleman,Midland County,43.7,-84.6,Michigan,26111,111
59913,48619,1,Comins,Oscoda County,44.8,-84.0,Michigan,26135,1
59943,48627,1,Higgins Lake,Roscommon County,44.491,-84.779,Michigan,26143,98
59971,48635,2,Lupton,Ogemaw County,44.4,-84.0,Michigan,26129,113
60140,48701,3,Akron,Tuscola County,43.6,-83.6,Michigan,26157,115
60248,48730,2,East Tawas,Iosco County,44.3,-83.5,Michigan,26069,95
60275,48740,2,Harrisville,Alcona County,44.7,-83.4,Michigan,26001,3
60378,48808,1,Bath,Clinton County,42.83,-84.44,Michigan,26037,35
60380,48809,2,Belding,Ionia County,43.1,-85.3,Michigan,26067,95
60385,48811,2,Carson City,Montcalm County,43.19,-84.86,Michigan,26117,101
60387,48813,1,Charlotte,Eaton County,42.6,-84.8,Michigan,26045,125
60408,48823,1,East Lansing,Ingham County,42.76,-84.44,Michigan,26065,348
60557,48858,1,Mount Pleasant,Isabella County,43.6,-84.8,Michigan,26073,105
60747,48897,2,Woodland,Barry County,42.7,-85.13,Michigan,26015,69
60891,49001,2,Kalamazoo,Kalamazoo County,42.27,-85.56,Michigan,26077,622
61147,49010,3,Allegan,Allegan County,42.5,-85.9,Michigan,26005,147
61159,49011,2,Athens,Calhoun County,42.09,-85.22,Michigan,26025,324
61160,49013,1,Bangor,Van Buren County,42.3,-86.1,Michigan,26159,252
61304,49022,1,Benton Harbor,Berrien County,42.1,-86.3,Michigan,26021,447
61447,49028,1,Bronson,Branch County,41.9,-85.2,Michigan,26023,203
61468,49030,1,Burr Oak,St. Joseph County,41.8,-85.4,Michigan,26149,150
61470,49031,2,Cassopolis,Cass County,41.9,-86.0,Michigan,26027,73
62209,49201,1,Jackson,Jackson County,42.2,-84.4,Michigan,26075,167
62300,49220,3,Addison,Lenawee County,41.99,-84.33,Michigan,26091,132
62347,49227,1,Allen,Hillsdale County,41.95,-84.77,Michigan,26059,144
62475,49302,2,Alto,Kent County,42.82,-85.4,Michigan,26081,575
62477,49304,2,Baldwin,Lake County,43.9,-85.9,Michigan,26085,16
62481,49307,1,Big Rapids,Mecosta County,43.7,-85.5,Michigan,26107,91
62516,49309,3,Bitely,Newaygo County,43.8,-85.9,Michigan,26123,103
62527,49318,1,Casnovia,Muskegon County,43.23,-85.83,Michigan,26121,546
62637,49401,2,Allendale,Ottawa County,42.98,-85.95,Michigan,26139,208
62652,49405,2,Custer,Mason County,43.9,-86.2,Michigan,26105,94
62732,49420,1,Hart,Oceana County,43.7,-86.3,Michigan,26127,47
63478,49601,3,Cadillac,Wexford County,44.3,-85.5,Michigan,26165,92
63512,49610,1,Acme,Grand Traverse County,,,Michigan,26055,55
63516,49631,2,Evart,Osceola County,43.9,-85.3,Michigan,26133,33
63528,49646,1,Kalkaska,Kalkaska County,44.7,-85.1,Michigan,26079,9
63531,49651,1,Lake City,Missaukee County,44.4,-85.1,Michigan,26113,16
63544,49659,1,Mancelona,Antrim County,44.9,-85.0,Michigan,26009,15
63573,49683,2,Thompsonville,Benzie County,44.5,-85.9,Michigan,26019,8
63597,49705,2,Afton,Cheboygan County,45.4,-84.5,Michigan,26031,96
63600,49706,2,Alanson,Emmet County,45.4,-84.8,Michigan,26047,58
63603,49707,2,Alpena,Alpena County,45.1,-83.5,Michigan,26007,51
