"City","city_ascii","id","State","county_fips","County","Lat","Long","population","population_proper","density","source","incorporated","timezone","Zipcode","nid"
"Brethren";"Brethren";"MI";"Michigan";26101;"Manistee";44.2989;-86.0185;"null";"null";184.7;"polygon";"false";"America/Detroit";49619;1840023961
"White Pine";"White Pine";"MI";"Michigan";26131;"Ontonagon";46.7402;-89.5812;"null";"null";235.1;"polygon";"false";"America/Detroit";49971;1840025260
"Westphalia";"Westphalia";"MI";"Michigan";26037;"Clinton";42.9303;-84.798;933;933;328;"polygon";"true";"America/Detroit";48894;1840011027
"Holt";"Holt";"MI";"Michigan";26065;"Ingham";42.6416;-84.5307;"null";"null";1086;"polygon";"false";"America/Detroit";"48842 48911 48824";1840004501
"Frontier";"Frontier";"MI";"Michigan";26059;"Hillsdale";41.7817;-84.6047;"null";"null";101.6;"point";"false";"America/Detroit";49242;1840031604
"Bay Shore";"Bay Shore";"MI";"Michigan";26029;"Charlevoix";45.3609;-85.1117;"null";"null";163.9;"polygon";"false";"America/Detroit";"49720 49711";1840025190
"Cutlerville";"Cutlerville";"MI";"Michigan";26081;"Kent";42.8406;-85.6739;"null";"null";1246.4;"polygon";"false";"America/Detroit";"49548 49315";1840004308
"Zilwaukee";"Zilwaukee";"MI";"Michigan";26145;"Saginaw";43.4809;-83.9223;1552;1552;271;"polygon";"true";"America/Detroit";48604;1840000351
"Eckerman";"Eckerman";"MI";"Michigan";26033;"Chippewa";46.3653;-85.0354;"null";"null";29.7;"point";"false";"America/Detroit";49728;1840031593
"Dundee";"Dundee";"MI";"Michigan";26115;"Monroe";41.9643;-83.6636;4195;4369;321;"polygon";"true";"America/Detroit";48131;1840013156
"Wayland";"Wayland";"MI";"Michigan";26005;"Allegan";42.6725;-85.6408;4692;4237;552;"polygon";"true";"America/Detroit";49348;1840000421
"Ironton";"Ironton";"MI";"Michigan";26029;"Charlevoix";45.2565;-85.1927;"null";"null";77.6;"polygon";"false";"America/Detroit";49720;1840025192
"Wayne";"Wayne";"MI";"Michigan";26163;"Wayne";42.2774;-83.3877;16947;16947;1086;"polygon";"true";"America/Detroit";48184;1840001846
"Republic";"Republic";"MI";"Michigan";26103;"Marquette";46.3956;-87.9819;"null";"null";114.6;"polygon";"false";"America/Detroit";49879;1840006570
"Kaleva";"Kaleva";"MI";"Michigan";26101;"Manistee";44.3723;-86.0135;462;462;161;"polygon";"true";"America/Detroit";49645;1840010937
"Marcellus";"Marcellus";"MI";"Michigan";26027;"Cass";42.0262;-85.8122;1151;1151;760;"polygon";"true";"America/Detroit";49067;1840011387
"Millington";"Millington";"MI";"Michigan";26157;"Tuscola";43.2784;-83.5273;1009;1009;285;"polygon";"true";"America/Detroit";48746;1840010974
"Bessemer";"Bessemer";"MI";"Michigan";26053;"Gogebic";46.4775;-90.0498;1761;1761;123;"polygon";"true";"America/Menominee";49911;1840001941
"Grand Haven";"Grand Haven";"MI";"Michigan";26139;"Ottawa";43.0553;-86.2201;10905;10905;735;"polygon";"true";"America/Detroit";"49417 49456";1840002995
"Falmouth";"Falmouth";"MI";"Michigan";26113;"Missaukee";44.2433;-85.087;"null";"null";104.4;"point";"false";"America/Detroit";49632;1840031599
"Lake City";"Lake City";"MI";"Michigan";26113;"Missaukee";44.3297;-85.2085;836;836;307;"polygon";"true";"America/Detroit";49651;1840002514
"Fremont";"Fremont";"MI";"Michigan";26123;"Newaygo";43.4633;-85.9533;4422;4015;438;"polygon";"true";"America/Detroit";"49412 49413";1840002680
"Alpena";"Alpena";"MI";"Michigan";26007;"Alpena";45.074;-83.4399;13597;9997;472;"polygon";"true";"America/Detroit";49707;1840003947
"Alden";"Alden";"MI";"Michigan";26009;"Antrim";44.8792;-85.2729;"null";"null";137.3;"polygon";"false";"America/Detroit";49612;1840023914
"Lapeer";"Lapeer";"MI";"Michigan";26087;"Lapeer";43.0448;-83.3255;13228;8712;467;"polygon";"true";"America/Detroit";48446;1840002896
"Pinckney";"Pinckney";"MI";"Michigan";26093;"Livingston";42.4543;-83.9457;2472;2472;592;"polygon";"true";"America/Detroit";48169;1840011079
"Kingsley";"Kingsley";"MI";"Michigan";26055;"Grand Traverse";44.5845;-85.5347;1609;1609;510;"polygon";"true";"America/Detroit";49649;1840013142
"Atlanta";"Atlanta";"MI";"Michigan";26119;"Montmorency";45.0017;-84.1536;"null";"null";184.3;"polygon";"false";"America/Detroit";49709;1840004026
"Pelkie";"Pelkie";"MI";"Michigan";26013;"Baraga";46.8133;-88.6365;"null";"null";9.7;"point";"false";"America/Detroit";49958;1840031733
"Williamston";"Williamston";"MI";"Michigan";26065;"Ingham";42.6834;-84.2836;6418;3916;616;"polygon";"true";"America/Detroit";48895;1840000420
"Beecher";"Beecher";"MI";"Michigan";26049;"Genesee";43.0903;-83.7039;"null";"null";843.2;"polygon";"false";"America/Detroit";"48458 48505";1840004343
"Holland";"Holland";"MI";"Michigan";26139;"Ottawa";42.7677;-86.0984;100885;33366;772;"polygon";"true";"America/Detroit";"49423 49422";1840002996
"Topinabee";"Topinabee";"MI";"Michigan";26031;"Cheboygan";45.4839;-84.5953;"null";"null";152.9;"point";"false";"America/Detroit";49791;1840031688
"Montrose";"Montrose";"MI";"Michigan";26049;"Genesee";43.1765;-83.8932;1563;1563;617;"polygon";"true";"America/Detroit";48457;1840002942
"Rhodes";"Rhodes";"MI";"Michigan";26051;"Gladwin";43.9017;-84.1761;"null";"null";38.2;"point";"false";"America/Detroit";48652;1840031672
"Hancock";"Hancock";"MI";"Michigan";26061;"Houghton";47.1355;-88.5987;4560;4560;681;"polygon";"true";"America/Detroit";"49930 49931";1840003920
"Lake Leelanau";"Lake Leelanau";"MI";"Michigan";26089;"Leelanau";44.9806;-85.7157;"null";"null";349.3;"polygon";"false";"America/Detroit";49653;1840025198
"Fowler";"Fowler";"MI";"Michigan";26037;"Clinton";43.0041;-84.7411;1218;1218;366;"polygon";"true";"America/Detroit";48835;1840011024
"Jonesville";"Jonesville";"MI";"Michigan";26059;"Hillsdale";41.9785;-84.6656;2212;2212;305;"polygon";"true";"America/Detroit";49250;1840011378
"Galesburg";"Galesburg";"MI";"Michigan";26077;"Kalamazoo";42.2911;-85.4182;2073;2073;566;"polygon";"true";"America/Detroit";49053;1840003184
"Central Lake";"Central Lake";"MI";"Michigan";26009;"Antrim";45.0693;-85.2618;936;936;338;"polygon";"true";"America/Detroit";49622;1840010002
"Free Soil";"Free Soil";"MI";"Michigan";26105;"Mason";44.1071;-86.2109;146;146;54;"polygon";"true";"America/Detroit";49411;1840010947
"Charlotte";"Charlotte";"MI";"Michigan";26045;"Eaton";42.5662;-84.8304;12657;9057;541;"polygon";"true";"America/Detroit";48813;1840003107
"Bentley";"Bentley";"MI";"Michigan";26017;"Bay";43.9481;-84.1344;"null";"null";106.3;"point";"false";"America/Detroit";48613;1840031567
"Paw Paw";"Paw Paw";"MI";"Michigan";26159;"Van Buren";42.2147;-85.8917;8400;3419;498;"polygon";"true";"America/Detroit";49079;1840011208
"Roosevelt Park";"Roosevelt Park";"MI";"Michigan";26121;"Muskegon";43.1981;-86.2733;3797;3797;1426;"polygon";"true";"America/Detroit";49441;1840002874
"Germfask";"Germfask";"MI";"Michigan";26153;"Schoolcraft";46.2494;-85.926;"null";"null";57.4;"point";"false";"America/Detroit";49836;1840031607
"Hudsonville";"Hudsonville";"MI";"Michigan";26139;"Ottawa";42.8631;-85.8628;7323;7323;686;"polygon";"true";"America/Detroit";49426;1840002997
"Lakeview";"Lakeview";"MI";"Michigan";26117;"Montcalm";43.4434;-85.2738;1005;1005;262;"polygon";"true";"America/Detroit";48850;1840010990
"Steuben";"Steuben";"MI";"Michigan";26153;"Schoolcraft";46.1883;-86.4568;"null";"null";14.2;"point";"false";"America/Detroit";49854;1840031747
"Marine City";"Marine City";"MI";"Michigan";26147;"St. Clair";42.7138;-82.5012;4102;4102;733;"polygon";"true";"America/Detroit";48039;1840003956
"Hazel Park";"Hazel Park";"MI";"Michigan";26125;"Oakland";42.4619;-83.0977;16489;16489;2259;"polygon";"true";"America/Detroit";48030;1840002444
