,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
64559,73301,1,Austin,Travis County,,,Texas,48453,1093
64566,75001,2,Addison,Dallas County,32.96,-96.84,Texas,48113,7399
64587,75002,1,Allen,Collin County,33.08,-96.61,Texas,48085,1465
64637,75006,2,Carrollton,Dallas County,32.95,-96.89,Texas,48113,7399
64684,75007,1,Carrollton,Denton County,33.0,-96.9,Texas,48121,2104
64742,75009,2,Celina,Collin County,33.3,-96.8,Texas,48085,1465
64751,75010,1,Carrollton,Denton County,33.03,-96.9,Texas,48121,2104
64766,75011,2,Carrollton,Dallas County,,,Texas,48113,7399
64767,75013,1,Allen,Collin County,33.12,-96.69,Texas,48085,1465
64784,75014,1,Irving,Dallas County,,,Texas,48113,7399
64788,75019,1,Coppell,Dallas County,32.96,-96.98,Texas,48113,7399
64801,75020,1,Denison,Grayson County,33.76,-96.6,Texas,48181,504
64878,75021,1,Denison,Grayson County,33.74,-96.47,Texas,48181,504
64895,75022,1,Flower Mound,Denton County,33.03,-97.12,Texas,48121,2104
64898,75023,2,Plano,Collin County,33.05,-96.73,Texas,48085,1465
64959,75024,1,Plano,Collin County,33.08,-96.81,Texas,48085,1465
64973,75025,3,Plano,Collin County,33.1,-96.73,Texas,48085,1465
65005,75028,1,Flower Mound,Denton County,33.03,-97.07,Texas,48121,2104
65022,75032,3,Rockwall,Rockwall County,32.9,-96.4,Texas,48397,165
65036,75033,3,Frisco,,,,Texas,NA,46
65060,75034,3,Frisco,Denton County,33.12,-96.88,Texas,48121,2104
65110,75035,1,Frisco,Collin County,33.16,-96.77,Texas,48085,1465
65145,75038,2,Irving,Dallas County,32.88,-96.98,Texas,48113,7399
65195,75039,2,Irving,Dallas County,32.88,-96.95,Texas,48113,7399
65199,75040,1,Garland,Dallas County,32.93,-96.62,Texas,48113,7399
65277,75041,1,Garland,Dallas County,32.88,-96.65,Texas,48113,7399
65335,75042,1,Garland,Dallas County,32.92,-96.68,Texas,48113,7399
65377,75043,3,Garland,Dallas County,32.86,-96.59,Texas,48113,7399
65513,75044,2,Garland,Dallas County,32.96,-96.65,Texas,48113,7399
65559,75046,2,Garland,Dallas County,,,Texas,48113,7399
65560,75048,3,Sachse,Dallas County,32.97,-96.58,Texas,48113,7399
