"City","city_ascii","id","State","county_fips","County","Lat","Long","population","population_proper","density","source","incorporated","timezone","Zipcode","nid"
"Friday","Friday","TX","Texas","48455","Trinity","31.1082","-95.2622","","","2.5","point","False","America/Chicago","75845","1840036855"
"Forest Glade","Forest Glade","TX","Texas","48293","Limestone","31.6307","-96.5219","","","83.9","point","False","America/Chicago","76667","1840036443"
"Juilliard","Juilliard","TX","Texas","48375","Potter","35.3187","-101.8096","","","32.4","point","False","America/Chicago","79108","1840036882"
"Burnet","Burnet","TX","Texas","48053","Burnet","30.7478","-98.2392","5762.0","6355","226","polygon","True","America/Chicago","78611","1840019567"
"Dell City","Dell City","TX","Texas","48229","Hudspeth","31.9349","-105.1998","467","467","108","polygon","True","America/Denver","79837","1840019522"
"D'Hanis","D'Hanis","TX","Texas","48325","Medina","29.3305","-99.2753","","","275.1","polygon","False","America/Chicago","78850","1840022500"
"Pleasant Hill","Pleasant Hill","TX","Texas","48373","Polk","31.0033","-94.7936","","","102.8","polygon","False","America/Chicago","75939","1840025987"
"Roma-Los Saenz","Roma-Los Saenz","TX","Texas","48427","Starr","26.4160","-99.0056","11425","11425","825","polygon","True","America/Chicago","78584","1840037014"
"Buenos","Buenos","TX","Texas","48169","Garza","33.2993","-101.4876","","","0.0","point","False","America/Chicago","79356","1840032790"
"Bailey","Bailey","TX","Texas","48147","Fannin","33.4335","-96.1649","295","295","286","polygon","True","America/Chicago","75413","1840019331"
"Leggett","Leggett","TX","Texas","48373","Polk","30.8180","-94.8705","","","47.7","point","False","America/Chicago","77351","1840036483"
"Annetta","Annetta","TX","Texas","48367","Parker","32.6939","-97.6582","3090","3090","317","polygon","True","America/Chicago","76008","1840022043"
"Taylor Landing","Taylor Landing","TX","Texas","48245","Jefferson","29.8641","-94.1348","243","243","89","polygon","True","America/Chicago","77705","1840022196"
"Liverpool","Liverpool","TX","Texas","48039","Brazoria","29.3016","-95.2745","519","519","183","polygon","True","America/Chicago","77577 77511","1840020975"
"Hondo","Hondo","TX","Texas","48325","Medina","29.3532","-99.1621","6794.0","9305","369","polygon","True","America/Chicago","78861","1840020963"
"Monroe City","Monroe City","TX","Texas","48071","Chambers","29.7849","-94.5852","","","3.5","point","False","America/Chicago","77514","1840036290"
"Codman","Codman","TX","Texas","48393","Roberts","35.6400","-100.7535","","","0.5","point","False","America/Chicago","79059","1840032821"
"Fashing","Fashing","TX","Texas","48013","Atascosa","28.7925","-98.1397","","","0.6","point","False","America/Chicago","78008","1840033057"
"Encinal","Encinal","TX","Texas","48283","La Salle","28.0410","-99.3546","587","587","524","polygon","True","America/Chicago","78019","1840020997"
"Redland","Redland","TX","Texas","48467","Van Zandt","32.3768","-95.4986","","","27.9","point","False","America/Chicago","75754","1840036750"
"Dougherty","Dougherty","TX","Texas","48153","Floyd","33.9417","-101.0865","","","11.0","point","False","America/Chicago","79235","1840036425"
"Retreat","Retreat","TX","Texas","48349","Navarro","32.0507","-96.4787","379","379","29","polygon","True","America/Chicago","75110","1840022119"
"Industry","Industry","TX","Texas","48015","Austin","29.9715","-96.4992","326","326","118","polygon","True","America/Chicago","78944","1840019626"
"Sublime","Sublime","TX","Texas","48285","Lavaca","29.4789","-96.7975","","","46.5","point","False","America/Chicago","77964","1840036341"
"Pantego","Pantego","TX","Texas","48439","Tarrant","32.7147","-97.1540","2543","2543","986","polygon","True","America/Chicago","76013","1840023029"
"Saturn","Saturn","TX","Texas","48177","Gonzales","29.5988","-97.3436","","","3.7","point","False","America/Chicago","78629","1840037003"
"Loeb","Loeb","TX","Texas","48199","Hardin","30.1947","-94.1930","","","308.2","point","False","America/Chicago","77657","1840036274"
"Loma Grande Colonia","Loma Grande Colonia","TX","Texas","48507","Zavala","28.7221","-99.8327","","","103.8","polygon","False","America/Chicago","78839","1840037110"
"Timberwood Park","Timberwood Park","TX","Texas","48029","Bexar","29.6990","-98.4829","","","685.8","polygon","False","America/Chicago","78258 78260","1840019651"
"Lautz","Lautz","TX","Texas","48421","Sherman","36.1873","-102.0318","","","0.2","point","False","America/Chicago","79084","1840033191"
"Arnett","Arnett","TX","Texas","48099","Coryell","31.4452","-97.8914","","","2.3","point","False","America/Chicago","76528","1840036362"
"Hemphill","Hemphill","TX","Texas","48403","Sabine","31.3431","-93.8511","1210","1210","184","polygon","True","America/Chicago","75948","1840020831"
"Frisco","Frisco","TX","Texas","48085","Collin","33.1553","-96.8218","177286","177286","1010","polygon","True","America/Chicago","75034 75035 75033 75036","1840020654"
"Onalaska","Onalaska","TX","Texas","48373","Polk","30.8209","-95.1111","7832.0","2755","199","polygon","True","America/Chicago","77360","1840020858"
"Sandy","Sandy","TX","Texas","48031","Blanco","30.3608","-98.4695","","","1.9","point","False","America/Chicago","78636","1840036759"
"Bayside","Bayside","TX","Texas","48391","Refugio","28.0966","-97.2109","329","329","125","polygon","True","America/Chicago","78340","1840020998"
"Waco","Waco","TX","Texas","48309","McLennan","31.5597","-97.1883","188448.0","136436","591","polygon","True","America/Chicago","76798 76710 76711 76712 76708 76701 76707 76706 76704 76702 76703 76714 76797 76799","1840022140"
"Brundage","Brundage","TX","Texas","48127","Dimmit","28.5740","-99.6700","","","6.9","polygon","False","America/Chicago","78834","1840018286"
"Eddy","Eddy","TX","Texas","48309","McLennan","31.2946","-97.2522","","","303.6","point","False","America/Chicago","76524","1840037015"
"Lums Chapel","Lums Chapel","TX","Texas","48279","Lamb","33.8326","-102.3277","","","4.2","point","False","America/Chicago","79339","1840036492"
"Pampa","Pampa","TX","Texas","48179","Gray","35.5479","-100.9650","17641.0","17475","748","polygon","True","America/Chicago","79065 79066","1840022939"
"Lamar","Lamar","TX","Texas","48007","Aransas","28.1439","-96.9888","","","24.1","polygon","False","America/Chicago","78382","1840026054"
"Horseshoe Bay","Horseshoe Bay","TX","Texas","48299","Llano","30.5404","-98.3804","3556.0","3880","106","polygon","True","America/Chicago","78657","1840020869"
"Avery","Avery","TX","Texas","48387","Red River","33.5522","-94.7803","450","450","182","polygon","True","America/Chicago","75554","1840020570"
"Merkel","Merkel","TX","Texas","48441","Taylor","32.4698","-100.0111","2600","2600","358","polygon","True","America/Chicago","79536","1840023054"
"Sherman","Sherman","TX","Texas","48181","Grayson","33.6266","-96.6195","67354.0","41917","368","polygon","True","America/Chicago","75092 75090 75091","1840021953"
"Boise","Boise","TX","Texas","48359","Oldham","35.2145","-102.8597","","","0.0","point","False","America/Chicago","79001","1840032786"
"Rockland","Rockland","TX","Texas","48457","Tyler","31.0152","-94.3816","","","5.7","point","False","America/Chicago","75938","1840037000"
"Clarendon","Clarendon","TX","Texas","48129","Donley","34.9366","-100.8918","1780","1780","236","polygon","True","America/Chicago","79226","1840019177"
"Hamilton","Hamilton","TX","Texas","48193","Hamilton","31.6997","-98.1208","2945.0","3004","334","polygon","True","America/Chicago","76531","1840020801"
"Olivarez","Olivarez","TX","Texas","48215","Hidalgo","26.2285","-97.9931","","","425.0","polygon","False","America/Chicago","78596","1840037067"
"Deport","Deport","TX","Texas","48277","Lamar","33.5291","-95.3174","563","563","195","polygon","True","America/Chicago","75435","1840019330"
"West Alto Bonito Colonia","West Alto Bonito Colonia","TX","Texas","48427","Starr","26.3144","-98.6632","","","1067.7","polygon","False","America/Chicago","78582","1840037119"
"Spur","Spur","TX","Texas","48125","Dickens","33.4702","-100.8557","1203","1203","289","polygon","True","America/Chicago","79370","1840021979"
"Cedar Hill","Cedar Hill","TX","Texas","48113","Dallas","32.5809","-96.9592","48710","48710","524","polygon","True","America/Chicago","75104 75106","1840019433"
"Study Butte","Study Butte","TX","Texas","48043","Brewster","29.3351","-103.5421","","","0.5","polygon","False","America/Chicago","79852","1840025120"
"Pine Springs","Pine Springs","TX","Texas","48109","Culberson","31.8926","-104.8155","","","0.5","point","False","America/Chicago","79847","1840033512"
"Hankamer","Hankamer","TX","Texas","48071","Chambers","29.8583","-94.6269","","","26.3","point","False","America/Chicago","77560","1840036240"
"Ben Wheeler","Ben Wheeler","TX","Texas","48467","Van Zandt","32.4460","-95.7039","","","70.2","point","False","America/Chicago","75754","1840036372"
"Trent","Trent","TX","Texas","48441","Taylor","32.4884","-100.1233","340","340","325","polygon","True","America/Chicago","79561","1840023055"
"Purley","Purley","TX","Texas","48159","Franklin","33.0912","-95.2622","","","6.4","point","False","America/Chicago","75494","1840036554"
"Stinnett","Stinnett","TX","Texas","48233","Hutchinson","35.8231","-101.4436","1813","1813","352","polygon","True","America/Chicago","79083","1840021703"
"Plata","Plata","TX","Texas","48377","Presidio","29.8763","-104.0177","","","0.1","point","False","America/Chicago","79843","1840033514"
"Zita","Zita","TX","Texas","48381","Randall","35.1314","-101.8544","","","0.0","point","False","America/Chicago","79118","1840033545"
"Corrigan","Corrigan","TX","Texas","48373","Polk","30.9988","-94.8274","1582","1582","266","polygon","True","America/Chicago","75939","1840023132"
"Bigfoot","Bigfoot","TX","Texas","48163","Frio","29.0619","-98.8522","","","52.3","polygon","False","America/Chicago","78005","1840018280"
"Round Top","Round Top","TX","Texas","48149","Fayette","30.0640","-96.6959","91","91","36","polygon","True","America/Chicago","78954","1840022207"
"Ella","Ella","TX","Texas","48249","Jim Wells","27.4736","-98.1058","","","0.0","point","False","America/Chicago","78375","1840033548"
"Dexter","Dexter","TX","Texas","48097","Cooke","33.8187","-96.9636","","","6.0","point","False","America/Chicago","76273","1840036421"
"Petty","Petty","TX","Texas","48277","Lamar","33.6026","-95.8100","","","91.1","point","False","America/Chicago","75470","1840036543"
"Normangee","Normangee","TX","Texas","48289","Leon","31.0300","-96.1161","698","698","241","polygon","True","America/Chicago","77871","1840023123"
"Elbert","Elbert","TX","Texas","48447","Throckmorton","33.2748","-99.0021","","","3.1","polygon","False","America/Chicago","76372","1840018037"
"Salt Gap","Salt Gap","TX","Texas","48307","McCulloch","31.3038","-99.5992","","","0.9","point","False","America/Chicago","76852","1840033521"
"Pasadena","Pasadena","TX","Texas","48201","Harris","29.6584","-95.1499","153520","153520","1358","polygon","True","America/Chicago","77058 77059 77586 77506 77507 77504 77505 77502 77503 77258 77501 77508","1840020930"
"Hockley","Hockley","TX","Texas","48201","Harris","30.0269","-95.8444","","","77.2","point","False","America/Chicago","77447","1840036245"
"Center City","Center City","TX","Texas","48333","Mills","31.4704","-98.4089","","","5.8","point","False","America/Chicago","76844","1840036398"
"Woodway","Woodway","TX","Texas","48309","McLennan","31.4988","-97.2314","8825","8825","519","polygon","True","America/Chicago","76712","1840022142"
"Brazos Bend","Brazos Bend","TX","Texas","48221","Hood","32.4752","-97.7611","339","339","214","polygon","True","America/Chicago","76048 76049","1840019461"
"Star","Star","TX","Texas","48333","Mills","31.4685","-98.3161","","","34.9","point","False","America/Chicago","76844","1840023007"
"Danbury","Danbury","TX","Texas","48039","Brazoria","29.2274","-95.3462","1769","1769","704","polygon","True","America/Chicago","77534","1840019675"
"Ranger","Ranger","TX","Texas","48133","Eastland","32.4693","-98.6751","2456","2456","135","polygon","True","America/Chicago","76470","1840020766"
"Dinero","Dinero","TX","Texas","48297","Live Oak","28.2264","-97.9617","","","4.8","point","False","America/Chicago","78368","1840020881"
"Vernon","Vernon","TX","Texas","48487","Wilbarger","34.1480","-99.3000","9941.0","10346","505","polygon","True","America/Chicago","76384 76385","1840021912"
"Cresson","Cresson","TX","Texas","48221","Hood","32.5298","-97.6155","875","875","29","polygon","True","America/Chicago","76049 76035","1840019462"
"Gentry","Gentry","TX","Texas","48375","Potter","35.2962","-101.9924","","","0.2","point","False","America/Chicago","79124","1840033087"
"Romayor","Romayor","TX","Texas","48291","Liberty","30.4513","-94.8433","","","64.2","point","False","America/Chicago","77327","1840036564"
"Carbon","Carbon","TX","Texas","48133","Eastland","32.2685","-98.8272","271","271","102","polygon","True","America/Chicago","76435","1840023056"
"Nopal","Nopal","TX","Texas","48377","Presidio","30.2882","-103.9266","","","0.0","point","False","America/Chicago","79843","1840032688"
"Sweet Home","Sweet Home","TX","Texas","48285","Lavaca","29.3452","-97.0717","","","64.9","point","False","America/Chicago","77987","1840036588"
"Mount Enterprise","Mount Enterprise","TX","Texas","48401","Rusk","31.9113","-94.6826","440","440","114","polygon","True","America/Chicago","75681","1840020768"
