BusinessSegment,BusinessFunction,BusinessUnit,Facility,Division,Region,Market,StreetAddress,City,State,State_Name,Zip,Latitude,Longitude,STORE_TYPE_CODE,Store_Type_Text,OPEN_STATUS_CODE,OPEN_STATUS_DESC,OPEN_DATE,CLOSE_DATE,Facility_Sqft,DC_TYPE,DC_TYPE_DESC,SVC,SVC watch list,RPZ Rate,Complex Store,Complex Market,Turnaround,Academy,RPZ Watch List,Challenging,Base Division,Current_HC,County Name,FY20 Watch List
Walmart,Field Facility,Supercenter,1,B - CENTRAL,42 - ARKANSAS/ NE OK,323,2110 W Walnut St,Rogers,AR,Arkansas,72756,36.3339429284647,-94.1475050791985,U,SuperCenter,5,"Old,more than 13 months since re-grand",1962-07-02,,201314,0,NOT ASSIGNED,WM >=$80MM,N,0,N,N,N,N,,All Other,1,415,Benton,
Walmart,Field Facility,Supercenter,2,B - CENTRAL,42 - ARKANSAS/ NE OK,322,161 N Walmart Dr,Harrison,AR,Arkansas,72601,36.2666813275594,-93.1388021261507,U,SuperCenter,5,"Old,more than 13 months since re-grand",1964-08-01,,181701,0,NOT ASSIGNED,WM >=$80MM,N,0,N,N,N,N,,All Other,1,350,Boone,
Walmart,Field Facility,Supercenter,3,A - SOUTHEAST,2 - NORTH GEORGIA,21,30983 Highway 441 S,Commerce,GA,Georgia,30529,34.2461213237222,-83.4587284292705,U,SuperCenter,5,"Old,more than 13 months since re-grand",1988-04-12,,151980,0,NOT ASSIGNED,WM >=$80MM,N,0,N,N,N,N,,All Other,1,283,Banks,
Walmart,Field Facility,Supercenter,4,B - CENTRAL,42 - ARKANSAS/ NE OK,323,2901 Highway 412 E,Siloam Springs,AR,Arkansas,72761,36.1812570937384,-94.5127559559901,U,SuperCenter,5,"Old,more than 13 months since re-grand",1965-08-01,,184435,0,NOT ASSIGNED,WM >=$80MM,N,0,N,N,N,N,,All Other,1,367,Benton,
Walmart,Field Facility,Supercenter,5,B - CENTRAL,42 - ARKANSAS/ NE OK,326,1155 Highway 65 N,Conway,AR,Arkansas,72032,35.109314910729,-92.4403282114797,U,SuperCenter,5,"Old,more than 13 months since re-grand",1972-05-01,,180161,0,NOT ASSIGNED,WM >=$80MM,N,0,N,N,N,N,,All Other,1,335,FAULKNER,
Walmart,Support,Walmart US,6,X - RETAIL - ADMIN SUBDIVISION X,98 - RETAIL - ADMIN REGION 98,998,702 SW 8th St,Bentonville,AR,Arkansas,72716,36.3644094377361,-94.2167818941327,G,General Office,2,"New,open 13 months or more",1997-08-01,,0,0,NOT ASSIGNED,,,0,All Other,All Other,All Other,All Other,,All Other,1,0,Benton,
Walmart,Field Facility,Supercenter,7,B - CENTRAL,42 - ARKANSAS/ NE OK,326,9053 Highway 107,Sherwood,AR,Arkansas,72120,34.837136417794,-92.2317864252534,U,SuperCenter,5,"Old,more than 13 months since re-grand",1967-10-01,,206528,0,NOT ASSIGNED,WM >=$80MM,N,0,N,N,N,N,,All Other,1,343,Pulaski,
Walmart,Field Facility,Supercenter,8,B - CENTRAL,42 - ARKANSAS/ NE OK,326,1621 E Harding St,Morrilton,AR,Arkansas,72110,35.1691396182661,-92.7241510724643,U,SuperCenter,5,"Old,more than 13 months since re-grand",1967-10-01,,123369,0,NOT ASSIGNED,WM $40MM - $60MM,N,0,N,N,N,N,,All Other,1,215,Conway,
Walmart,Field Facility,Supercenter,9,B - CENTRAL,40 - MISSOURI/ E KS,335,1303 S Main St,Sikeston,MO,Missouri,63801,36.8591529514442,-89.5835344059573,U,SuperCenter,5,"Old,more than 13 months since re-grand",1968-03-01,,205540,0,NOT ASSIGNED,WM >=$80MM,N,0,N,N,N,N,,All Other,1,321,New Madrid,
Walmart,Field Facility,Supercenter,10,B - CENTRAL,42 - ARKANSAS/ NE OK,347,2020 S Muskogee Ave,Tahlequah,OK,Oklahoma,74464,35.8889463547971,-94.9772684271168,U,SuperCenter,5,"Old,more than 13 months since re-grand",1968-07-30,,182721,0,NOT ASSIGNED,WM >=$80MM,N,0,N,N,N,N,,All Other,1,355,Cherokee,
Walmart,Field Facility,Supercenter,11,B - CENTRAL,42 - ARKANSAS/ NE OK,328,65 Wal Mart Dr,Mountain Home,AR,Arkansas,72653,36.3567619194008,-92.3410590594393,U,SuperCenter,5,"Old,more than 13 months since re-grand",1968-03-01,,220167,0,NOT ASSIGNED,WM >=$80MM,N,0,N,N,N,N,,All Other,1,401,Baxter,
