ind,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
0,30002,2,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,13089,2707.0
10,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,13121,3344.0
35,30005,1,Alpharetta,Fulton County,34.09,-84.22,Georgia,13121,3344.0
38,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,13067,1490.0
104,30009,2,Alpharetta,Fulton County,34.08,-84.3,Georgia,13121,3344.0
111,30011,2,Auburn,Barrow County,34.03,-83.83,Georgia,13013,215.0
142,30012,3,Conyers,Rockdale County,33.72,-84.01,Georgia,13247,294.0
198,30013,3,Conyers,Rockdale County,33.64,-83.97,Georgia,13247,294.0
277,30014,3,Covington,Newton County,33.6,-83.8,Georgia,13217,619.0
413,30015,3,Covington,Newton County,,,Georgia,13217,619.0
419,30016,1,Covington,Newton County,33.5,-83.9,Georgia,13217,619.0
654,30017,3,Grayson,Gwinnett County,33.89,-83.96,Georgia,13135,1436.0
669,30019,3,Dacula,Gwinnett County,34.0,-83.9,Georgia,13135,1436.0
704,30021,1,Clarkston,DeKalb County,33.81,-84.24,Georgia,13089,2707.0
750,30022,1,Alpharetta,Fulton County,34.02,-84.25,Georgia,13121,3344.0
768,30024,1,Suwanee,Gwinnett County,34.07,-84.1,Georgia,13135,1436.0
783,30025,1,Social Circle,Walton County,33.6,-83.7,Georgia,13297,541.0
817,30028,2,Cumming,Forsyth County,34.3,-84.2,Georgia,13117,155.0
841,30030,1,Decatur,DeKalb County,33.77,-84.29,Georgia,13089,2707.0
851,30032,1,Decatur,DeKalb County,33.75,-84.27,Georgia,13089,2707.0
1054,30033,2,Decatur,DeKalb County,33.82,-84.29,Georgia,13089,2707.0
1059,30034,2,Decatur,DeKalb County,33.69,-84.25,Georgia,13089,2707.0
1225,30035,1,Decatur,DeKalb County,33.73,-84.2,Georgia,13089,2707.0
1325,30038,2,Lithonia,DeKalb County,33.66,-84.14,Georgia,13089,2707.0
1491,30039,1,Snellville,Gwinnett County,33.8,-84.03,Georgia,13135,1436.0
1623,30040,2,Cumming,Forsyth County,34.2,-84.2,Georgia,13117,155.0
1661,30041,2,Cumming,Forsyth County,34.2,-84.1,Georgia,13117,155.0
1687,30043,1,Lawrenceville,Gwinnett County,34.01,-84.01,Georgia,13135,1436.0
1752,30044,1,Lawrenceville,Gwinnett County,33.92,-84.07,Georgia,13135,1436.0
1860,30045,2,Lawrenceville,Gwinnett County,33.93,-83.92,Georgia,13135,1436.0
1916,30046,2,Lawrenceville,Gwinnett County,33.95,-84.0,Georgia,13135,1436.0
2003,30047,1,Lilburn,Gwinnett County,33.87,-84.11,Georgia,13135,1436.0
2054,30052,2,Loganville,Walton County,33.8,-83.9,Georgia,13297,541.0
2157,30054,1,Oxford,Newton County,33.68,-83.86,Georgia,13217,619.0
2175,30055,2,Mansfield,Jasper County,33.5,-83.7,Georgia,13159,36.0
2180,30056,2,Newborn,Jasper County,33.5,-83.65,Georgia,13159,36.0
2184,30058,2,Lithonia,DeKalb County,33.74,-84.1,Georgia,13089,2707.0
2425,30060,1,Marietta,Cobb County,33.93,-84.54,Georgia,13067,1490.0
2521,30062,1,Marietta,Cobb County,34.0,-84.47,Georgia,13067,1490.0
2565,30064,2,Marietta,Cobb County,33.93,-84.62,Georgia,13067,1490.0
